"","rgn1","r2","coef","range"
"(Intercept)15","경기도",0.575502840815767,27.4791779798948,2.53401896412116
"rider_cnt15","경기도",0.575502840815767,-0.00216444481686208,2.53401896412116
"ord_cnt15","경기도",0.575502840815767,0.000108482511363868,2.53401896412116
"weekday목요일15","경기도",0.575502840815767,-1.58056336206781,2.53401896412116
"weekday수요일15","경기도",0.575502840815767,-1.45067361674824,2.53401896412116
"weekday월요일15","경기도",0.575502840815767,-0.925905191642651,2.53401896412116
"weekday일요일15","경기도",0.575502840815767,-3.11470662769882,2.53401896412116
"weekday토요일15","경기도",0.575502840815767,-2.48621689063415,2.53401896412116
"weekday화요일15","경기도",0.575502840815767,-0.0384720245613986,2.53401896412116
"mean_fee15","경기도",0.575502840815767,0.0022987511039686,2.53401896412116
"(Intercept)16","충청남도",0.627574150869209,21.122487832615,1.14813935074909
"rider_cnt16","충청남도",0.627574150869209,-0.025849374399913,1.14813935074909
"ord_cnt16","충청남도",0.627574150869209,-0.00011626496498722,1.14813935074909
"weekday목요일16","충청남도",0.627574150869209,-0.823559681938882,1.14813935074909
"weekday수요일16","충청남도",0.627574150869209,-0.833491020376787,1.14813935074909
"weekday월요일16","충청남도",0.627574150869209,-1.35314363215602,1.14813935074909
"weekday일요일16","충청남도",0.627574150869209,-0.223383038963076,1.14813935074909
"weekday토요일16","충청남도",0.627574150869209,0.345641168490548,1.14813935074909
"weekday화요일16","충청남도",0.627574150869209,-0.935624754670188,1.14813935074909
"mean_fee16","충청남도",0.627574150869209,0.00266941905331266,1.14813935074909
